股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600176,中国巨石,16.18,-0.49,-2.94%,-6.17%,52048481,856772218.3,1.3%,20.432,1.211%,64770752259
SH600616,金枫酒业,9.49,-0.2,-2.06%,-11.56%,88491852,854902237.04,13.23%,373.554,0.316%,6348856976
SH600585,海螺水泥,48.41,+0.06,0.12%,-6.22%,17361952,841055900.66,0.43%,7.121,4.379%,256539237849
SH603759,海天股份,25.85,-0.84,-3.15%,132.17%,30233056,827264323.09,38.76%,40.204,0.654%,8065200000
SH601601,中国太保,33.29,-0.23,-0.69%,-13.31%,24115698,809360719.29,0.35%,12.944,3.905%,320261167037
SH600771,广誉远,23.19,+0.49,2.16%,55.32%,34599916,809123372.42,7.03%,1188.501,0,11409472973
SH603630,拉芳家化,31.85,+2.9,10.02%,97.09%,26570382,807894003.16,11.84%,61.393,0.283%,7221032000
SH600745,闻泰科技,85.68,+0.19,0.22%,-13.45%,9290910,803797087.97,1.07%,43.872,0.193%,106678374032
SH600958,东方证券,9.9,-0.06,-0.6%,-14.88%,79986853,800061489.14,1.39%,22.434,2.525%,69237192450
SH600096,云天化,10.56,-0.43,-3.91%,73.97%,73700137,799899967.51,5.41%,23.214,0,19402903312
SH600600,青岛啤酒,100.4,-1.64,-1.61%,1.01%,7837796,791830996.57,1.13%,51,0.747%,136993470218
SH600499,科达制造,13.48,-0.28,-2.03%,92.3%,57771092,786962289.44,3.66%,57.232,0.742%,25455900643
SH600132,重庆啤酒,170.23,-1.24,-0.72%,43.06%,4520938,771896355.06,0.93%,66.838,0,82386417036
SH600362,江西铜业,25.51,-0.02,-0.08%,27.87%,30048297,771149521.62,1.45%,29.254,0.392%,88334227122
SH600848,上海临港,23.78,+2.16,9.99%,18.78%,33347213,769537764.43,2.75%,31.242,1.262%,49987182081
SH603806,福斯特,72,-4.05,-5.33%,1.66%,10422559,760311163.48,1.13%,34.899,0.521%,66489324912
SH601688,华泰证券,16.52,-0.08,-0.48%,-8.27%,45594134,758380438.46,0.62%,13.336,2.421%,149946258000
SH600259,广晟有色,36.99,+1.29,3.61%,22.61%,20319543,752170508.41,6.73%,129.387,0,11163666744
SH600765,中航重机,19.51,+1.16,6.32%,-21.74%,39107739,746462126.7,4.56%,48.326,0.254%,18333173188
SH603222,济民制药,18.66,+0.73,4.07%,38.02%,40564409,744070792.68,12.68%,118.519,0,6358273113
SH601375,中原证券,5.02,-0.05,-0.99%,-28.49%,144748719,731602165.11,4.2%,79.714,0.339%,23307281194
SH600183,生益科技,22.32,-0.53,-2.32%,-19.37%,32313099,731415826.21,1.41%,27.124,1.792%,51143835179
SH600295,鄂尔多斯,21.82,+1.36,6.65%,109.4%,33693862,730356029.93,5.16%,14.809,3.666%,31157805046
SH601225,陕西煤业,12.13,+0.11,0.92%,29.87%,59413031,720462733.83,0.59%,7.628,6.595%,121300000000
SH601696,中银证券,16.23,+0.06,0.37%,-41.37%,43971655,720187713.89,3.03%,55.03,0.591%,45086940000
SH601211,国泰君安,17.29,-0.06,-0.35%,-1.37%,41229019,718351367.64,0.55%,11.237,3.239%,154027073182
SH600223,鲁商发展,16.68,+0.14,0.85%,95.77%,43009455,713742269.29,4.26%,25.429,1.199%,16832658679
SH603486,科沃斯,178.5,+7.09,4.14%,101.72%,3967068,712528981.93,0.71%,109.425,0.28%,102199108463
SH600104,上汽集团,20.23,-0.17,-0.83%,-17.23%,34944594,709280285.37,0.3%,9.036,3.065%,236356423414
SH600900,长江电力,19.9,+0.08,0.4%,3.86%,35400694,703988296.15,0.16%,16.838,3.518%,452562998677
SH600596,新安股份,15.95,-0.45,-2.74%,47%,42502003,693517285.37,6.07%,15.475,1.567%,13053326657
SH601788,光大证券,16.06,-0.22,-1.35%,-13.28%,42342906,692504416.74,1.08%,38.428,0.984%,74049249482
SH600690,海尔智家,29.61,-0.69,-2.28%,1.37%,23113969,690778396.86,0.37%,25.624,1.23%,278279663133
SH600459,贵研铂业,33.75,+3.07,10.01%,31.07%,20950061,687530414.47,4.79%,40.907,0.681%,14772645371
SH600019,宝钢股份,7.84,+0.06,0.77%,31.76%,84433157,666571388.69,0.38%,10.584,3.827%,174585741288
SH600328,中盐化工,11.86,+0.15,1.28%,77.81%,56065971,663931324.87,10.02%,15.19,3.12%,11357902061
SH603606,东方电缆,21.93,+1.99,9.98%,-11.08%,31000624,663346644.97,4.74%,13.224,1.049%,14344593462
SH600089,特变电工,11.48,-0.17,-1.46%,13.1%,57115701,660036475.35,1.54%,10.166,1.829%,42640310818
SH600655,豫园股份,13.66,-0.02,-0.15%,53.66%,47360131,654063936.8,2.95%,13.732,2.416%,53048589018
SH600872,中炬高新,49.39,+0.52,1.06%,-24.79%,13137784,646143365.5,1.65%,45.823,1.377%,39345911012
SH601939,建设银行,6.77,-0.06,-0.88%,7.8%,94778099,643639839.88,0.99%,6.193,4.815%,1692574317580
SH600257,大湖股份,7.88,+0.23,3.01%,37.04%,81924936,642697086.54,17.02%,1315.18,0,3792149041
SH605186,健麾信息,37.5,+0.79,2.15%,33.31%,17390216,639784809.6,51.15%,52.998,0.573%,5100000000
SH605080,浙江自然,50.31,+4.57,9.99%,61.46%,13421554,637587602.91,53.09%,27.863,,5087528316
SH601857,中国石油,4.75,+0.04,0.85%,14.46%,132868875,635187996.27,0.08%,13.809,3.681%,869349644636
SH603787,新日股份,29,+1.04,3.72%,-1.03%,21463809,625671449.31,10.52%,40.984,0.862%,5916000000
SH600110,诺德股份,8.62,-0.27,-3.04%,-6.81%,71075439,623688405.53,6.18%,150.406,0,12044455461
SH601600,中国铝业,5.23,-0.02,-0.38%,44.08%,117960250,621703473.57,0.9%,53.095,0,89028579534
SH600327,大东方,8.6,+0.42,5.13%,114.42%,74022002,617514487.73,8.37%,20.158,8.721%,7609103855
SH600516,方大炭素,8.33,+0.01,0.12%,17.82%,74083663,616538275.15,1.95%,52.537,6.002%,31703733165
SH601100,恒立液压,77,-1.98,-2.51%,-31.86%,7816243,608354807.76,0.6%,37.369,0.779%,100512720000
SH600710,苏美达,6.96,+0.45,6.91%,24.29%,86764056,604728870.51,6.64%,13.434,3.606%,9094976061
SH601279,英利汽车,13.6,-0.7,-4.9%,557%,43852088,604175458.13,29.35%,98.31,,20321842935
SH601658,邮储银行,5.45,-0.03,-0.55%,14.02%,109898250,601007246.32,0.97%,7.71,3.826%,503492623447
SH600722,金牛化工,7.17,+0.27,3.91%,54.19%,83535064,597401096.03,12.28%,352.113,0,4877892077
SH600988,赤峰黄金,17.44,-0.23,-1.3%,-2.62%,33963349,597016361.16,2.21%,30.736,0,29018614432
SH601969,海南矿业,9.42,+0.2,2.17%,57.53%,62425589,596368226.54,3.19%,55.049,0,18413465358
SH603888,新华网,22.05,-1.26,-5.41%,16.05%,26436248,587842464.43,5.09%,49.694,0.58%,11444597388
SH600648,外高桥,16.3,+1.48,9.99%,16.68%,36625503,584208746.78,3.92%,19.462,1.227%,18506190721
SH600338,西藏珠峰,15.38,-0.01,-0.06%,51.16%,37331535,579590801.73,4.08%,113.079,0,14060552384
SH601878,浙商证券,12.69,-0.1,-0.78%,-17.06%,44689951,574967350.33,1.24%,28.465,0,49213962009
SH603077,和邦生物,2.04,+0.05,2.51%,43.66%,282154994,573274893.55,3.19%,55.765,0,18015750465
SH600141,兴发集团,18.2,+0.03,0.17%,65%,31019318,572105024.6,3.31%,21.338,1.374%,20363846467
SH601628,中国人寿,35.05,-0.36,-1.02%,-8.7%,16079435,569784176.58,0.08%,16.039,1.826%,990677910250
